month,product_group_id,product_group_name,market_revenue,revenue_amazon
2024-01-01,1,Portable Computers,15123388416.0,3702859008.0
2024-02-01,1,Portable Computers,13050494976.0,3087673088.0
2024-03-01,1,Portable Computers,14596761600.0,3925259264.0
2024-04-01,1,Portable Computers,12280558592.0,3246907392.0
2024-05-01,1,Portable Computers,14138746880.0,3819705088.0
2024-06-01,1,Portable Computers,11997469696.0,2923101440.0
2024-07-01,1,Portable Computers,13281465344.0,3758094080.0
2024-08-01,1,Portable Computers,13957457920.0,2799738624.0
2024-09-01,1,Portable Computers,12264134656.0,2819195136.0
2024-10-01,1,Portable Computers,12237127680.0,2886165504.0
2024-11-01,1,Portable Computers,13627330560.0,2913232128.0
2024-12-01,1,Portable Computers,11973933056.0,3004218112.0
2024-01-01,2,Cooling Systems,5879366144.0,525857216.0
2024-02-01,2,Cooling Systems,5948033024.0,506523584.0
2024-03-01,2,Cooling Systems,6093962240.0,518028512.0
2024-04-01,2,Cooling Systems,6539014144.0,530351008.0
2024-05-01,2,Cooling Systems,6259640320.0,480775168.0
2024-06-01,2,Cooling Systems,6419726336.0,441806272.0
2024-07-01,2,Cooling Systems,6045862400.0,482127008.0
2024-08-01,2,Cooling Systems,6441518592.0,533819968.0
2024-09-01,2,Cooling Systems,6269826560.0,487829440.0
2024-10-01,2,Cooling Systems,6336623616.0,480149568.0
2024-11-01,2,Cooling Systems,6319596544.0,482669440.0
2024-12-01,2,Cooling Systems,6090287104.0,459769472.0
2024-01-01,3,Frozen Storage Units,1519055360.0,144671904.0
2024-02-01,3,Frozen Storage Units,1310712192.0,134822016.0
2024-03-01,3,Frozen Storage Units,1431672960.0,144765088.0
2024-04-01,3,Frozen Storage Units,1542226560.0,164792912.0
2024-05-01,3,Frozen Storage Units,1539165696.0,178734832.0
2024-06-01,3,Frozen Storage Units,1622630656.0,149242512.0
2024-07-01,3,Frozen Storage Units,1643151232.0,184749440.0
2024-08-01,3,Frozen Storage Units,1597055744.0,179725696.0
2024-09-01,3,Frozen Storage Units,1566388864.0,170178192.0
2024-10-01,3,Frozen Storage Units,1407064064.0,150791264.0
2024-11-01,3,Frozen Storage Units,1319653760.0,150796560.0
2024-12-01,3,Frozen Storage Units,1427712000.0,156528928.0
2024-01-01,4,Laundry Machines,7106736128.0,549116992.0
2024-02-01,4,Laundry Machines,6215706112.0,586958656.0
2024-03-01,4,Laundry Machines,7594032640.0,682536192.0
2024-04-01,4,Laundry Machines,7889312256.0,586330944.0
2024-05-01,4,Laundry Machines,8611600384.0,668866176.0
2024-06-01,4,Laundry Machines,7863446528.0,709648704.0
2024-07-01,4,Laundry Machines,6801726976.0,641735680.0
2024-08-01,4,Laundry Machines,7261784064.0,786740032.0
2024-09-01,4,Laundry Machines,7889445888.0,805935424.0
2024-10-01,4,Laundry Machines,6833508864.0,668159104.0
2024-11-01,4,Laundry Machines,6443353600.0,618649344.0
2024-12-01,4,Laundry Machines,6208345088.0,533136288.0
2024-01-01,5,Dish Cleaning Machines,1608218496.0,240733920.0
2024-02-01,5,Dish Cleaning Machines,1579106944.0,278616416.0
2024-03-01,5,Dish Cleaning Machines,1502549504.0,212099328.0
2024-04-01,5,Dish Cleaning Machines,1498162688.0,213115616.0
2024-05-01,5,Dish Cleaning Machines,1555405568.0,221138016.0
2024-06-01,5,Dish Cleaning Machines,1572977536.0,261252848.0
2024-07-01,5,Dish Cleaning Machines,1566559360.0,239218416.0
2024-08-01,5,Dish Cleaning Machines,1685928320.0,243823376.0
2024-09-01,5,Dish Cleaning Machines,1528697088.0,195736176.0
2024-10-01,5,Dish Cleaning Machines,1517688448.0,254195008.0
2024-11-01,5,Dish Cleaning Machines,1495024384.0,201286928.0
2024-12-01,5,Dish Cleaning Machines,1429446528.0,228664272.0
2024-01-01,6,Microwave Cookers,1514471680.0,190827824.0
2024-02-01,6,Microwave Cookers,1595707904.0,204552320.0
2024-03-01,6,Microwave Cookers,1606003200.0,213433760.0
2024-04-01,6,Microwave Cookers,1398256512.0,198191072.0
2024-05-01,6,Microwave Cookers,1642997760.0,217118304.0
2024-06-01,6,Microwave Cookers,1589886976.0,215241920.0
2024-07-01,6,Microwave Cookers,1610667776.0,206581616.0
2024-08-01,6,Microwave Cookers,1767869824.0,233600240.0
2024-09-01,6,Microwave Cookers,1403626752.0,189078992.0
2024-10-01,6,Microwave Cookers,1571975936.0,192107792.0
2024-11-01,6,Microwave Cookers,1641023488.0,200040640.0
2024-12-01,6,Microwave Cookers,1633747712.0,204735648.0
2024-01-01,7,Kitchen Ventilation Systems,1000000000.0,111387040.0
2024-02-01,7,Kitchen Ventilation Systems,1000000000.0,110259760.0
2024-03-01,7,Kitchen Ventilation Systems,1000000000.0,113241432.0
2024-04-01,7,Kitchen Ventilation Systems,1000000000.0,109673656.0
2024-05-01,7,Kitchen Ventilation Systems,1000000000.0,111808320.0
2024-06-01,7,Kitchen Ventilation Systems,1000000000.0,116492152.0
2024-07-01,7,Kitchen Ventilation Systems,1000000000.0,107889568.0
2024-08-01,7,Kitchen Ventilation Systems,1000000000.0,115717408.0
2024-09-01,7,Kitchen Ventilation Systems,1000000000.0,115859920.0
2024-10-01,7,Kitchen Ventilation Systems,1000000000.0,115542136.0
2024-11-01,7,Kitchen Ventilation Systems,1000000000.0,113122336.0
2024-12-01,7,Kitchen Ventilation Systems,1000000000.0,110034416.0
2024-01-01,8,Integrated Stovetops,1121863168.0,168139008.0
2024-02-01,8,Integrated Stovetops,1547219072.0,213719056.0
2024-03-01,8,Integrated Stovetops,1544600960.0,157035904.0
2024-04-01,8,Integrated Stovetops,1201309696.0,127286016.0
2024-05-01,8,Integrated Stovetops,1469489152.0,140962848.0
2024-06-01,8,Integrated Stovetops,1092198016.0,124304736.0
2024-07-01,8,Integrated Stovetops,1290914816.0,129392944.0
2024-08-01,8,Integrated Stovetops,1343661952.0,145022352.0
2024-09-01,8,Integrated Stovetops,1387049984.0,149988768.0
2024-10-01,8,Integrated Stovetops,1440807424.0,132904520.0
2024-11-01,8,Integrated Stovetops,1292680448.0,130238192.0
2024-12-01,8,Integrated Stovetops,1299945984.0,131360992.0
2024-01-01,9,Cooking Appliances,1593341056.0,149218896.0
2024-02-01,9,Cooking Appliances,1546180480.0,170669776.0
2024-03-01,9,Cooking Appliances,1476755072.0,189825936.0
2024-04-01,9,Cooking Appliances,1474277760.0,135861552.0
2024-05-01,9,Cooking Appliances,1486184064.0,133276264.0
2024-06-01,9,Cooking Appliances,1483114368.0,118843296.0
2024-07-01,9,Cooking Appliances,1565891584.0,142246688.0
2024-08-01,9,Cooking Appliances,1437921792.0,130201968.0
2024-09-01,9,Cooking Appliances,1377386112.0,171967136.0
2024-10-01,9,Cooking Appliances,1487811584.0,173265072.0
2024-11-01,9,Cooking Appliances,1501969408.0,139051392.0
2024-12-01,9,Cooking Appliances,1511246720.0,139376752.0
2024-01-01,10,Baking Ovens,1423310080.0,145051680.0
2024-02-01,10,Baking Ovens,1371289216.0,145434816.0
2024-03-01,10,Baking Ovens,1281889920.0,127379392.0
2024-04-01,10,Baking Ovens,1319360896.0,121593192.0
2024-05-01,10,Baking Ovens,1233967616.0,116092160.0
2024-06-01,10,Baking Ovens,1208064000.0,103180432.0
2024-07-01,10,Baking Ovens,1296501888.0,127144224.0
2024-08-01,10,Baking Ovens,1423687808.0,133904288.0
2024-09-01,10,Baking Ovens,1448113792.0,137686464.0
2024-10-01,10,Baking Ovens,1338183168.0,141542032.0
2024-11-01,10,Baking Ovens,1497895552.0,137653264.0
2024-12-01,10,Baking Ovens,1326178944.0,132877432.0
2024-01-01,11,Climate Control Units,1000000000.0,147921152.0
2024-02-01,11,Climate Control Units,1000000000.0,150125856.0
2024-03-01,11,Climate Control Units,1000000000.0,141894640.0
2024-04-01,11,Climate Control Units,1000000000.0,148505776.0
2024-05-01,11,Climate Control Units,1000000000.0,149442944.0
2024-06-01,11,Climate Control Units,1000000000.0,150322400.0
2024-07-01,11,Climate Control Units,1000000000.0,147116288.0
2024-08-01,11,Climate Control Units,1000000000.0,147509456.0
2024-09-01,11,Climate Control Units,1000000000.0,146342288.0
2024-10-01,11,Climate Control Units,1000000000.0,150669840.0
2024-11-01,11,Climate Control Units,1000000000.0,145399248.0
2024-12-01,11,Climate Control Units,1000000000.0,152238992.0
2024-01-01,13,Digital Tablets,3254283264.0,454799808.0
2024-02-01,13,Digital Tablets,3162331648.0,455074048.0
2024-03-01,13,Digital Tablets,3171204096.0,462940000.0
2024-04-01,13,Digital Tablets,3261763072.0,393286176.0
2024-05-01,13,Digital Tablets,3402365696.0,429663968.0
2024-06-01,13,Digital Tablets,2571546112.0,370927136.0
2024-07-01,13,Digital Tablets,2355168000.0,347229600.0
2024-08-01,13,Digital Tablets,2392843776.0,315379552.0
2024-09-01,13,Digital Tablets,2997053440.0,403534944.0
2024-10-01,13,Digital Tablets,3067912448.0,416659616.0
2024-11-01,13,Digital Tablets,3145910784.0,432115808.0
2024-12-01,13,Digital Tablets,3148748288.0,368433792.0
2024-01-01,14,Display Screens,1392209280.0,593198912.0
2024-02-01,14,Display Screens,1314244992.0,583968960.0
2024-03-01,14,Display Screens,1305603712.0,595298624.0
2024-04-01,14,Display Screens,1336361856.0,522945120.0
2024-05-01,14,Display Screens,1499607808.0,526102368.0
2024-06-01,14,Display Screens,1451463552.0,557108736.0
2024-07-01,14,Display Screens,1781651840.0,622179968.0
2024-08-01,14,Display Screens,1712564992.0,500754592.0
2024-09-01,14,Display Screens,1516509440.0,501119136.0
2024-10-01,14,Display Screens,1322102016.0,524873472.0
2024-11-01,14,Display Screens,1371539328.0,511133056.0
2024-12-01,14,Display Screens,1405486464.0,531063680.0
2024-01-01,15,Mobile Phones & Refurbished Devices,37723836416.0,2271545344.0
2024-02-01,15,Mobile Phones & Refurbished Devices,41659969536.0,2173195008.0
2024-03-01,15,Mobile Phones & Refurbished Devices,35608825856.0,1921503232.0
2024-04-01,15,Mobile Phones & Refurbished Devices,45892386816.0,2086474880.0
2024-05-01,15,Mobile Phones & Refurbished Devices,37227491328.0,1836649856.0
2024-06-01,15,Mobile Phones & Refurbished Devices,37346770944.0,2255873024.0
2024-07-01,15,Mobile Phones & Refurbished Devices,37681909760.0,2434154752.0
2024-08-01,15,Mobile Phones & Refurbished Devices,44513775616.0,2254810368.0
2024-09-01,15,Mobile Phones & Refurbished Devices,40423051264.0,2273301760.0
2024-10-01,15,Mobile Phones & Refurbished Devices,44992729088.0,2175810816.0
2024-11-01,15,Mobile Phones & Refurbished Devices,37280206848.0,2037553280.0
2024-12-01,15,Mobile Phones & Refurbished Devices,36958146560.0,2296027392.0
2024-01-01,16,Flat-Screen TVs,8984667136.0,872767552.0
2024-02-01,16,Flat-Screen TVs,11023234048.0,1063960384.0
2024-03-01,16,Flat-Screen TVs,11200182272.0,1045983296.0
2024-04-01,16,Flat-Screen TVs,9687174144.0,1033007936.0
2024-05-01,16,Flat-Screen TVs,10839420928.0,909786432.0
2024-06-01,16,Flat-Screen TVs,9534246912.0,833156992.0
2024-07-01,16,Flat-Screen TVs,9368285184.0,938614528.0
2024-08-01,16,Flat-Screen TVs,10311023616.0,1046723008.0
2024-09-01,16,Flat-Screen TVs,10875765760.0,1082490496.0
2024-10-01,16,Flat-Screen TVs,9822965760.0,987901952.0
2024-11-01,16,Flat-Screen TVs,9626502144.0,1034297856.0
2024-12-01,16,Flat-Screen TVs,9731864576.0,897236608.0
2024-01-01,17,Floor Cleaning Devices,4360950272.0,697794752.0
2024-02-01,17,Floor Cleaning Devices,4211345152.0,741437248.0
2024-03-01,17,Floor Cleaning Devices,4600884736.0,744696768.0
2024-04-01,17,Floor Cleaning Devices,4829775360.0,777337664.0
